x,y,d_left,d_right,psi
2.097262711783142,-0.977044564811629,1.6675317569824426,1.782955478574668,-0.18514357946343463
2.1954308639651874,-0.9954303261352433,1.6858699414906457,1.7645709083949186,-0.16388742005940538
2.2942906670241277,-1.0096272050762114,1.700038228558435,1.7503755216975299,-0.11424334073342646
2.3937723332961545,-1.0181886146985777,1.7085868243403566,1.7418148418750392,-0.06360584681904324
2.493546693984435,-1.0223181726543533,1.7127110808347232,1.737685469601586,-0.02356381198188018
2.5934088288613637,-1.0228936824117247,1.7181626943303263,1.7371099610211371,0.0075433574721546215
2.6932550714415804,-1.0208116723984877,1.7212224432862167,1.7391919992259648,0.028766559443247353
2.793059580399223,-1.017148832462569,1.7284798147344707,1.7428549505289088,0.03835994505850171
2.8928540065501505,-1.013151310475137,1.7411136549902648,1.7468526058917138,0.03461264655096952
2.992687016476513,-1.0102364379243605,1.7507725570417785,1.7497675336998242,0.01577836438819613
3.092560952089221,-1.009999999999855,1.7505387327074893,1.750003945957018,0.0011836586276245953
3.192438708870848,-1.009999999999855,1.7505411848778747,1.7500039128214329,-0.006846168007845321
3.292294366065243,-1.0113674298726023,1.7519111985895677,1.748636499698487,-0.017381473495122757
3.3921486819304087,-1.0134716032188638,1.754017764050991,1.746532347669391,-0.013377913227805793
3.492023800662608,-1.0140395523282246,1.7545880680736905,1.7459643722366394,0.0011369701725199022
3.5918975952381005,-1.0132444945645784,1.7537958308773955,1.7467594035116327,-0.005919053317508194
3.691747435039436,-1.0152217409749686,1.7557756329151903,1.7447821875355296,-0.03186278289197464
3.7915281395951665,-1.0196074327003894,1.7601648606816274,1.740396680818749,-0.04194829656581489
3.8913248683511776,-1.0235985883784802,1.764159277952238,1.736405678327422,-0.02568405056466494
3.991188757266195,-1.024736654015279,1.7652998226198846,1.7352676115665966,0.013480551775011618
4.090976301784318,-1.0209070138487792,1.7614761997046746,1.7390974089302884,0.07182843346395518
4.190274031043188,-1.0104120270667571,1.7510021132353544,1.7495937254378846,0.1448604226340633
4.288422793052818,-0.9921030700584296,1.7329044123004889,1.7679078012330725,0.22352250947863173
4.384839241119029,-0.9661832675048044,1.7126865638093844,1.793842665021204,0.30107593118046405
4.478976000996082,-0.9329333400007215,1.6905251138913926,1.8210433452799324,0.37691467664061684
4.570372726793019,-0.8927417692080958,1.6666830059754536,1.730309529789426,0.4511808782090059
4.658575736555949,-0.8459150546484456,1.6413184005551384,1.6414302949001487,0.5194126136664607
4.743667167897714,-0.7936551019705914,1.614079377826156,1.557067017983172,0.5794462692217971
4.825613063110105,-0.7366096168317803,1.5830162367094196,1.4743953931205793,0.6448999703046119
4.903159560411997,-0.673686835344944,1.5506496358785,1.397205692382218,0.7082919220396112
4.97724201619449,-0.6067298616087681,1.5171147826566438,1.3232212464597521,0.7606190267355422
5.047791295352036,-0.5360508819054851,1.4807528432250892,1.2522222670695653,0.8138089704977706
5.114346843521047,-0.461604488388526,1.4417734075474151,1.1858149453488809,0.8655753237618306
5.177214667794813,-0.38401220054708146,1.401664891499571,1.1235652866799384,0.9180908470242075
5.235601069447206,-0.3029948781143784,1.362372228950522,1.0651190422684182,0.9768085999266738
5.288933079689161,-0.21858837984615936,1.3236885361252562,1.0113447512820106,1.0381301875267859
5.336970430051585,-0.1310378554602215,1.2857349190204233,0.9630969545077899,1.096483575578994
5.380116092907182,-0.040983378915819664,1.2488906172370506,0.9198852725171646,1.1510602878531357
5.418328339960681,0.051274344869740585,1.2070721927179826,0.8816922081183902,1.210283274793999
5.450526472639213,0.1457871494575892,1.166257921146362,0.8495495997583599,1.282524846609412
5.47505647560423,0.24258006424421044,1.1252583625044927,0.8250698596886703,1.3611512363951819
5.492058184117754,0.340981164202667,1.084612319996834,0.8080982339340741,1.433855797704737
5.502305540433584,0.4403193341798114,1.0454399707055364,0.7978634994439323,1.4950586848826795
5.507165770357157,0.5400722388955491,1.008819539092329,0.7930065748948826,1.5398015196674546
