s,x,y,psi,kappa,v
4.082465,5.154043132161365,-5.916321164465053,2.609524,0.0,3.0
4.181796,5.022037699526484,-5.84372841315125,2.78121,0.0,3.0
4.281346,4.894768174260858,-5.798040020509497,2.900342,0.0,3.0
4.380945,4.783536306521943,-5.771051453353358,2.949893,0.0,3.0
4.480582,4.680469506446786,-5.751096068630746,2.967706,0.0,3.0
4.580216,4.572262183408059,-5.732265165233579,3.001713,0.0,3.0
4.679849,4.452231609969129,-5.716141267448097,3.073351,0.0,3.0
4.779485,4.304558591207814,-5.7099409989066645,3.234434,0.0,3.0
4.879094,4.172794700100678,-5.724026403605979,3.344299,0.0,3.0
4.978738,4.045262901900385,-5.751864365453095,3.447418,0.0,3.0
5.078276,3.911268567190249,-5.7972544594246465,3.587557,0.0,3.0
5.177809,3.7932229170805924,-5.855604500587844,3.69488,0.0,3.0
5.277391,3.6763748464600217,-5.930821350930291,3.826456,0.0,3.0
5.37697,3.5823742838293646,-6.008684955731608,3.901456,0.0,3.0
5.476607,3.4919547292982522,-6.096179154347547,3.98883,0.0,3.0
5.576171,3.406447529120208,-6.195472342156773,4.093899,0.0,3.0
5.675755,3.333883639776198,-6.299589909901164,4.185087,0.0,3.0
5.775365,3.2704944965777782,-6.411190574320984,4.280998,0.0,3.0
5.874993,3.225654150349102,-6.50884972872543,4.307111,0.0,3.0
5.974635,3.1895286740691597,-6.593308993917257,4.281172,0.0,3.0
6.07428,3.1576789431023107,-6.664419221601393,4.20867,0.0,3.0
6.173847,3.123381489252772,-6.729059546431598,4.120554,0.0,3.0
6.273451,3.0814021847385566,-6.793096937800897,4.04368,0.0,3.0
6.373076,3.0317820361308034,-6.856850964454918,3.980844,0.0,3.0
6.472623,2.993056705610367,-6.903755121611851,3.851233,0.0,3.0
6.572129,2.9450764082285574,-6.947596288192215,3.735836,0.0,3.0
6.671746,2.869932941446464,-6.998528859639313,3.706365,0.0,3.0
6.771382,2.793767241950181,-7.046963072240368,3.675111,0.0,3.0
6.871019,2.716587311830202,-7.092738947839158,3.642098,0.0,3.0
6.970664,2.6347324729479813,-7.137586047202271,3.621062,0.0,3.0
7.070311,2.557389871171628,-7.178085490837438,3.579907,0.0,3.0
7.169957,2.4917617337915092,-7.210153000470329,3.491085,0.0,3.0
7.26939,2.449907938931887,-7.230459092095995,3.312957,0.0,3.0
7.368928,2.3905760381067997,-7.243295788490866,3.182971,0.0,3.0
7.468331,2.347167311677626,-7.250321402615284,2.996082,0.0,3.0
7.567738,2.303057206039163,-7.2491075247952015,2.809713,0.0,3.0
7.667215,2.258788370256836,-7.239104843658949,2.627489,0.0,3.0
7.766827,2.210589592967998,-7.216009932144468,2.472584,0.0,3.0
7.866218,2.186963855184274,-7.210236396253547,2.212056,0.0,3.0
7.965436,2.1630956093890275,-7.192351012455099,1.974467,0.0,3.0
8.064706,2.146169497183347,-7.183925901649712,1.687639,0.0,3.0
8.163938,2.135117505141121,-7.150598876644996,1.469775,0.0,3.0
8.263431,2.141377919844931,-7.077516039797613,1.382492,0.0,3.0
8.363026,2.1550693381852977,-7.001293293104525,1.308567,0.0,3.0
8.462669,2.1838643182097965,-6.893023253567997,1.349883,0.0,3.0
8.562259,2.2087390180922344,-6.780369558849547,1.402491,0.0,3.0
8.661893,2.226189537966586,-6.677441921166185,1.418367,0.0,3.0
8.761536,2.2375391497465476,-6.598992890697958,1.350383,0.0,3.0
8.861111,2.2589052138013925,-6.503608755408621,1.344292,0.0,3.0
8.960731,2.2814241235200523,-6.405893083377291,1.346483,0.0,3.0
