s,x,y,psi,kappa,v
11.252226,2.329721441012012,-3.939182553822121,1.077911,0.0,0.9996999999999999
11.351859,2.3804592207385222,-3.844802042168176,1.067158,0.0,0.9996999999999999
11.451473,2.46350600634011,-3.700686450025719,0.971755,0.0,0.9996999999999999
11.551033,2.54762021610657,-3.5803188224748985,0.904168,0.0,0.9996999999999999
11.650672,2.638006201836865,-3.4677514560710736,0.840235,0.0,0.9996999999999999
11.750292,2.7418795752967386,-3.354907660436716,0.763391,0.0,0.9996999999999999
11.849902,2.8663769632953304,-3.24054700250364,0.664077,0.0,0.9996999999999999
11.949451,2.987920974975098,-3.1479913858232744,0.587982,0.0,0.9996999999999999
12.049014,3.1032701991226004,-3.072358767939083,0.533154,0.0,0.9996999999999999
12.148658,3.20413724479564,-3.0130808252715386,0.508369,0.0,0.9996999999999999
12.248308,3.296714462602632,-2.9615284876533075,0.49934,0.0,0.9996999999999999
12.347922,3.442069079456615,-2.8856204287944687,0.40729,0.0,0.9996999999999999
12.447518,3.585060436048455,-2.8263045452990903,0.328366,0.0,0.9996999999999999
12.547141,3.728201233225608,-2.779499102513137,0.255494,0.0,0.9996999999999999
12.646732,3.9286289543632065,-2.7354067667460145,0.104247,0.0,0.9996999999999999
12.746171,4.12772292458109,-2.7217947766490003,-0.039096,0.0,0.9996999999999999
12.845708,4.282701506191445,-2.730073277275442,-0.118665,0.0,0.9996999999999999
12.945231,4.432350992485591,-2.7498201674838487,-0.192182,0.0,0.9996999999999999
13.044771,4.5439210543854305,-2.7716756416883586,-0.2124,0.0,0.9996999999999999
13.144406,4.6769539873054224,-2.8013474915274994,-0.264805,0.0,0.9996999999999999
13.244029,4.770980513276231,-2.8268479866426963,-0.261651,0.0,0.9996999999999999
13.343666,4.942423640439989,-2.877394964794072,-0.374826,0.0,0.9996999999999999
13.443232,5.092414393139988,-2.9394302197374094,-0.464549,0.0,0.9996999999999999
13.542877,5.200580660473218,-2.994004516910058,-0.495278,0.0,0.9996999999999999
13.642513,5.306739574825089,-3.0517149966869335,-0.525562,0.0,0.9996999999999999
13.742157,5.393402031161987,-3.1019767670605414,-0.526323,0.0,0.9996999999999999
13.841784,5.461254482754161,-3.141762358955781,-0.496372,0.0,0.9996999999999999
13.941426,5.534811474351817,-3.181805698173461,-0.473663,0.0,0.9996999999999999
14.041001,5.588095173879497,-3.2103484556442807,-0.417722,0.0,0.9996999999999999
14.140636,5.644291983482703,-3.236402642123867,-0.363838,0.0,0.9996999999999999
14.240264,5.739978467290919,-3.2728451054745795,-0.367792,0.0,0.9996999999999999
14.339901,5.787139447511521,-3.292816187330933,-0.298509,0.0,0.9996999999999999
14.43955,5.873352555766266,-3.319411318774951,-0.285057,0.0,0.9996999999999999
14.539165,5.971333991330707,-3.348127218677221,-0.288593,0.0,0.9996999999999999
14.638799,6.062444417804561,-3.3751928165778904,-0.282054,0.0,0.9996999999999999
14.738435,6.131902669565931,-3.3958690388573047,-0.243224,0.0,0.9996999999999999
14.838033,6.2259874541928815,-3.4192204910270467,-0.239426,0.0,0.9996999999999999
14.93763,6.286922436573206,-3.4350830436922513,-0.187075,0.0,0.9996999999999999
15.037169,6.299333471082176,-3.4428175241007866,-0.064024,0.0,0.9996999999999999
15.136688,6.291374299880464,-3.450545211021042,0.089373,0.0,0.9996999999999999
15.236071,6.2911265741386,-3.457816274929714,0.233135,0.0,0.9996999999999999
15.335633,6.306821225393143,-3.459369626577632,0.354355,0.0,0.9996999999999999
15.435239,6.339149608200165,-3.4507644412382406,0.449214,0.0,0.9996999999999999
15.534846,6.4066794835570935,-3.418699275239108,0.484717,0.0,0.9996999999999999
15.634478,6.457896848424895,-3.3931810155044837,0.545368,0.0,0.9996999999999999
15.734107,6.5172233264244195,-3.3579697127346244,0.589159,0.0,0.9996999999999999
15.83375,6.593266871929188,-3.3072049527793808,0.600892,0.0,0.9996999999999999
15.933394,6.659773914197464,-3.261937495084426,0.62831,0.0,0.9996999999999999
16.033024,6.710403459244178,-3.2264152087811953,0.682326,0.0,0.9996999999999999
