s,x,y,psi,kappa,v
5.37697,3.375728594158163,-5.791204936094594,3.901456,0.815065,0.68257071
5.476607,3.2671203293551656,-5.8975601909874875,3.98883,0.966074,0.6275528399999999
5.576171,3.1620219913850693,-6.021529373042803,4.093899,0.985483,0.62140492
5.675755,3.07463261697018,-6.148629957679058,4.185087,0.93928,0.63634754
5.775365,2.997978715126772,-6.2857507526519125,4.280998,0.612453,0.78584752
5.874993,2.949955969431287,-6.390568229584775,4.307111,0.000873,1.705
5.974635,2.916990978991423,-6.467916790163976,4.281172,-0.493966,0.87335556
6.07428,2.894942118901806,-6.519611206587395,4.20867,-0.806267,0.68623925
6.173847,2.8744056797207707,-6.561694537340606,4.120554,-0.828384,0.6771271099999999
6.273451,2.8460129267910657,-6.607107967023888,4.04368,-0.701253,0.7351560100000001
6.373076,2.8085414773729984,-6.656442249744244,3.980844,-0.966235,0.62750107
6.472623,2.7975865774574453,-6.676177818255822,3.851233,-1.230868,0.55658175
6.572129,2.7771139243628986,-6.6990231520392625,3.735836,-0.72753,0.7219410199999999
6.671746,2.7093623119720025,-6.7451179818950635,3.706365,-0.304763,1.10509513
6.771382,2.641199845452392,-6.78865474963026,3.675111,-0.322507,1.07520462
6.871019,2.5726256148943394,-6.829537447433085,3.642098,-0.271219,1.16914826
6.970664,2.496340469137345,-6.871413822352549,3.621062,-0.31206,1.0925051000000001
7.070311,2.4300657073528553,-6.9064449980756795,3.579907,-0.65219,0.76190405
7.169957,2.389035236757144,-6.928289085065964,3.491085,-1.340925,0.5334284699999999
7.26939,2.3987492432968223,-6.934853294011576,3.312957,-1.548537,0.49663023
7.368928,2.3781658452231613,-6.9435525865452385,3.182971,-1.592809,0.48972342999999996
7.468331,2.390667419977012,-6.953491921973172,2.996082,-1.877461,0.45128684
7.567738,2.4008046593533705,-6.96547847943585,2.809713,-1.853306,0.45420238999999996
7.667215,2.4063131393461514,-6.97788378304776,2.627489,-1.693358,0.47504926999999997
7.766827,2.396651505488547,-6.980678326299499,2.472584,-2.087572,0.4280883
7.866218,2.4273667408390383,-7.030774833324703,2.212056,-2.508028,0.39071625
7.965436,2.4389828504655875,-7.074511162609626,1.974467,-2.642059,0.38071503
8.064706,2.444124079150193,-7.148953525619103,1.687639,-2.542503,0.38806853999999996
8.163938,2.433587921428606,-7.180854629842753,1.469775,-1.535524,0.49871653
8.263431,2.4360744353980466,-7.133676201150521,1.382492,-0.809732,0.6847872100000001
8.363026,2.4448147465307386,-7.079059599119757,1.308567,-0.163669,1.48775386
8.462669,2.4765730293529016,-6.958762210243472,1.349883,0.471428,0.89356477
8.562259,2.5044998837916936,-6.830624014583545,1.402491,0.343754,1.0424162300000002
8.661893,2.5227116784867034,-6.722989919906438,1.418367,-0.261485,1.18992229
8.761536,2.530280500163503,-6.664586348929252,1.350383,-0.371829,1.00336119
8.861111,2.5512421796698526,-6.570981586634806,1.344292,-0.019579,1.705
8.960731,2.573908906048384,-6.472621278270777,1.346483,-0.170183,1.46061212
9.060379,2.5908749392255865,-6.396498891414107,1.31038,-0.055389,1.705
9.160014,2.620218043192535,-6.285647633156738,1.335445,0.022215,1.705
9.259659,2.6404427138138526,-6.20075951817381,1.314807,-0.55459,0.82513475
9.359298,2.6496923184444183,-6.15585472806759,1.224924,-0.596498,0.79611689
9.458932,2.677337904844217,-6.078393903283307,1.195941,-0.239908,1.2402275399999998
9.55857,2.7095864452008005,-5.996142759322239,1.177117,-0.239832,1.24041788
9.658201,2.7409029269569958,-5.920089612092142,1.14815,-0.582069,0.80575975
9.757823,2.7583120369920833,-5.875849327136505,1.061138,-0.730655,0.72041675
9.857425,2.78887283536066,-5.819060432901299,1.002586,-0.153139,1.53501801
9.957074,2.8513538615457645,-5.7207592390482835,1.030625,0.195924,1.36627509
10.056691,2.9059468389194953,-5.62964818928113,1.041627,0.264901,1.18250616
10.156303,2.9684302506396643,-5.521765972508901,1.083401,0.56073,0.8206843899999999
10.255949,3.0334409658799384,-5.395982047016782,1.153357,0.032505,1.705
10.355593,3.057306786270564,-5.33919133643988,1.089879,-0.348149,1.03599954
10.455214,3.101739863438827,-5.254009858081264,1.083983,0.014598,1.705
